Start,End, 11  car , 11  truck , 11  motorbike , 11  van , 11  bus , 12  car , 12  truck , 12  motorbike , 12  van , 12  bus , 13  car , 13  truck , 13  motorbike , 13  van , 13  bus , 14  car , 14  truck , 14  motorbike , 14  van , 14  bus , 15  car , 15  truck , 15  motorbike , 15  van , 15  bus , 21  car , 21  truck , 21  motorbike , 21  van , 21  bus , 22  car , 22  truck , 22  motorbike , 22  van , 22  bus , 23  car , 23  truck , 23  motorbike , 23  van , 23  bus , 24  car , 24  truck , 24  motorbike , 24  van , 24  bus , 25  car , 25  truck , 25  motorbike , 25  van , 25  bus , 31  car , 31  truck , 31  motorbike , 31  van , 31  bus , 32  car , 32  truck , 32  motorbike , 32  van , 32  bus , 33  car , 33  truck , 33  motorbike , 33  van , 33  bus , 34  car , 34  truck , 34  motorbike , 34  van , 34  bus , 35  car , 35  truck , 35  motorbike , 35  van , 35  bus , 41  car , 41  truck , 41  motorbike , 41  van , 41  bus , 42  car , 42  truck , 42  motorbike , 42  van , 42  bus , 43  car , 43  truck , 43  motorbike , 43  van , 43  bus , 44  car , 44  truck , 44  motorbike , 44  van , 44  bus , 61  car , 61  truck , 61  motorbike , 61  van , 61  bus , 62  car , 62  truck , 62  motorbike , 62  van , 62  bus , 63  car , 63  truck , 63  motorbike , 63  van , 63  bus , 64  car , 64  truck , 64  motorbike , 64  van , 64  bus , 51  car , 51  truck , 51  motorbike , 51  van , 51  bus , 52  car , 52  truck , 52  motorbike , 52  van , 52  bus , 53  car , 53  truck , 53  motorbike , 53  van , 53  bus ,1WE,1EW,3EW,3WE,1NS,1SN,3SN,3NS,EAST,WEST
10:30:00,10:45:00,4,0,0,0,0,10,3,0,9,0,61,3,1,1,0,40,0,0,0,0,74,0,0,1,0,40,0,0,0,0,2,0,0,0,0,39,0,0,0,0,19,0,1,1,0,31,0,0,0,0,133,3,2,3,0,11,2,1,10,0,70,2,1,0,0,68,1,0,0,0,36,2,1,0,0,29,0,0,0,0,17,0,0,1,0,33,1,0,5,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
10:45:00,11:00:00,9,1,0,0,0,16,1,1,10,0,64,3,1,0,0,43,2,0,0,0,78,6,1,0,0,31,2,0,0,0,0,0,0,0,0,35,0,0,1,0,30,0,0,1,0,33,0,0,0,0,158,1,2,2,0,10,1,0,6,0,70,2,0,0,0,71,2,0,0,0,57,2,0,0,0,30,3,0,0,0,22,1,0,0,0,36,2,0,1,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
11:00:00,11:15:00,8,1,0,0,0,10,2,0,9,0,69,4,0,0,0,38,4,0,0,0,72,1,0,0,0,28,0,0,0,0,0,0,0,1,0,29,1,0,1,0,20,1,0,1,0,27,0,0,0,0,145,1,6,1,0,10,0,4,9,0,69,1,0,0,0,57,0,1,0,0,42,2,0,0,0,13,3,0,0,0,20,0,0,0,0,30,0,0,0,0,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11:15:00,11:30:00,18,2,0,0,0,7,0,2,11,0,65,4,0,0,0,46,1,3,0,0,88,0,0,0,0,47,0,0,0,0,2,0,0,0,0,32,0,0,0,0,25,0,5,0,0,31,0,0,0,0,156,3,2,2,0,17,1,0,11,0,71,3,0,0,0,69,2,1,0,0,63,6,0,0,0,23,1,0,0,0,20,0,0,0,0,32,0,0,1,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
11:30:00,11:45:00,13,0,0,0,0,14,1,2,8,0,73,1,0,0,0,49,2,1,0,0,87,3,0,0,0,37,0,0,0,0,0,2,0,0,0,28,2,0,0,0,23,0,0,1,0,30,0,0,1,0,162,4,0,1,0,14,0,0,10,0,63,3,1,0,0,60,3,4,0,0,57,1,1,0,0,22,3,0,0,0,13,1,0,0,0,33,2,0,0,0,11,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
11:45:00,12:00:00,9,1,0,0,0,8,1,1,10,0,71,3,0,0,0,41,2,0,0,0,104,3,0,0,0,48,0,0,0,0,2,0,0,0,0,24,0,0,2,0,37,0,0,1,0,38,0,0,0,0,129,3,4,2,0,12,0,2,9,0,64,4,0,1,0,69,0,0,0,0,59,1,0,0,0,28,2,0,0,0,11,1,0,0,0,20,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0
12:00:00,12:15:00,12,0,0,0,0,9,1,1,7,0,63,2,0,0,0,52,0,0,0,0,74,0,0,0,0,46,0,0,0,0,2,0,0,0,0,27,0,2,0,0,27,0,1,1,0,29,0,0,0,0,112,4,2,1,0,11,5,0,7,0,78,2,1,0,0,71,3,1,0,0,58,2,0,0,0,24,4,0,0,0,14,0,0,1,0,29,2,0,1,0,13,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1
12:15:00,12:30:00,11,0,0,1,0,6,2,1,8,0,55,2,0,0,0,40,0,1,0,0,64,3,1,0,0,52,0,0,0,0,1,0,0,0,0,39,0,0,0,0,24,1,0,2,0,41,0,0,1,0,136,1,5,2,0,11,1,1,11,0,79,4,0,0,0,90,2,1,0,0,56,2,0,0,0,11,3,0,0,0,24,3,2,0,0,41,0,0,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
12:30:00,12:45:00,13,1,0,0,0,13,2,3,14,0,80,3,1,0,0,48,1,0,0,0,96,1,0,0,0,31,0,0,0,0,5,0,0,0,0,35,0,1,0,0,20,0,0,1,0,24,0,0,8,0,154,3,0,1,0,18,0,1,9,0,72,4,1,0,0,83,2,1,0,0,57,3,0,0,0,30,1,0,0,0,23,1,0,0,0,51,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0
12:45:00,13:00:00,12,1,0,0,0,16,2,1,9,0,70,1,1,0,0,51,1,2,0,0,74,3,0,2,0,35,0,0,0,0,4,0,0,0,0,52,0,6,1,0,29,0,0,0,0,40,0,0,0,0,125,0,0,1,0,13,2,1,9,0,64,2,0,1,0,60,4,2,0,0,58,1,0,0,0,25,2,0,0,0,19,1,0,0,0,42,0,0,1,0,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0
13:00:00,13:15:00,8,0,0,0,0,15,7,3,13,0,73,2,0,0,0,51,3,0,0,0,91,0,0,0,0,42,0,0,0,0,2,0,0,0,0,44,2,0,2,0,24,1,2,0,0,26,0,0,1,0,113,1,7,3,0,16,2,4,10,0,69,1,0,0,0,73,2,1,0,0,65,2,0,0,0,44,2,0,0,0,10,2,0,0,0,32,4,8,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0
13:15:00,13:30:00,9,0,0,0,0,14,2,2,8,0,71,0,1,0,0,46,1,2,0,0,69,1,0,0,0,38,1,0,0,0,10,0,0,0,0,49,2,0,2,0,37,0,0,1,0,40,0,2,1,0,114,3,5,2,0,12,3,1,13,0,69,2,2,0,0,72,1,0,0,0,58,2,0,0,0,34,1,0,0,0,13,1,0,0,0,50,2,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0
13:30:00,13:45:00,9,0,1,0,0,17,2,2,7,0,68,3,1,1,0,46,0,1,0,0,59,0,0,0,0,41,0,0,0,0,2,0,0,0,0,43,0,2,2,0,21,0,3,0,0,37,0,0,1,0,105,1,5,3,0,19,0,0,9,0,80,1,1,0,0,71,1,0,0,0,57,1,0,0,0,26,1,0,0,0,16,1,0,0,0,29,1,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
13:45:00,14:00:00,9,0,0,0,0,12,1,3,8,0,66,0,2,0,0,43,1,3,0,0,44,0,0,1,0,37,0,0,0,0,1,0,0,0,0,29,0,1,1,0,27,0,1,1,0,30,0,0,0,0,92,1,8,1,0,14,1,2,10,0,74,2,0,0,0,70,2,0,0,0,63,4,0,0,0,19,1,0,0,0,7,2,0,0,0,36,10,0,0,0,12,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
14:00:00,14:15:00,8,0,0,0,0,15,1,1,13,0,62,3,7,1,0,47,0,1,0,0,49,0,1,0,0,41,1,0,0,0,2,0,0,0,0,36,0,0,1,0,23,0,2,1,0,28,0,2,1,0,89,1,5,1,0,8,1,1,11,0,77,2,1,0,0,70,4,0,0,0,46,1,0,0,0,24,0,0,0,0,9,0,0,0,0,21,1,0,2,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14:15:00,14:30:00,7,0,0,0,0,9,4,1,7,0,66,0,0,0,0,49,0,1,0,0,55,1,1,0,0,35,0,0,0,0,2,0,0,0,0,35,0,3,0,0,27,0,0,1,0,27,0,1,0,0,80,2,7,2,0,6,0,3,12,0,65,2,2,0,0,64,0,0,0,0,55,2,1,0,0,20,1,0,0,0,3,3,0,0,0,16,1,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
14:30:00,14:45:00,8,0,0,0,0,13,3,7,10,0,72,2,1,0,0,54,1,0,0,0,36,3,0,0,0,46,0,0,0,0,2,0,0,0,0,21,0,1,0,0,29,0,0,1,0,30,0,0,0,0,65,1,4,1,0,15,1,1,12,0,64,0,1,0,0,57,4,3,0,0,62,4,1,0,0,31,1,0,0,0,11,5,0,0,0,27,1,0,3,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
14:45:00,15:00:00,7,0,0,0,0,9,5,2,10,0,52,0,0,1,0,39,1,0,0,0,26,0,0,0,0,46,0,0,0,0,3,0,0,0,0,26,1,0,0,0,28,0,1,0,0,27,0,0,1,0,66,1,2,1,0,8,1,2,9,0,63,4,1,0,0,62,4,1,0,0,56,0,0,0,0,23,3,1,0,0,9,0,0,0,0,28,0,0,1,0,5,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,3,2
15:00:00,15:15:00,6,1,0,0,0,10,3,2,8,0,55,0,2,0,0,31,0,0,0,0,29,0,0,0,0,32,0,0,0,0,0,0,0,0,0,27,0,0,1,0,25,0,2,0,0,33,0,4,0,0,70,1,1,2,0,12,0,0,11,0,69,2,0,0,0,52,1,3,0,0,60,1,0,0,0,29,1,1,0,0,11,1,0,0,0,21,0,0,1,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15:15:00,15:30:00,11,0,0,0,0,8,1,1,7,0,57,1,0,1,0,33,0,0,0,0,24,0,0,0,0,41,0,0,0,0,1,0,0,0,0,31,0,3,0,0,34,0,1,0,0,32,0,1,1,0,53,1,1,1,0,7,1,1,13,0,61,1,1,0,0,51,5,2,0,0,50,1,0,0,0,29,0,0,0,0,8,1,0,0,0,23,0,0,0,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2
15:30:00,15:45:00,3,0,0,0,0,11,3,1,8,0,60,1,1,0,0,37,0,1,0,0,25,1,0,0,0,26,0,0,0,0,1,0,0,0,0,19,1,1,0,0,22,0,3,0,0,17,0,0,0,0,59,0,3,1,0,6,1,2,3,0,59,1,1,0,0,38,0,1,0,0,61,0,0,0,0,27,2,0,0,0,9,1,0,0,0,28,2,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0
15:45:00,16:00:00,8,0,0,0,0,11,1,0,6,0,47,0,1,0,0,35,2,1,0,0,25,1,0,0,0,24,0,0,0,0,2,0,0,0,0,24,0,0,0,0,29,0,3,0,0,27,1,0,0,0,66,0,3,1,0,20,3,5,4,0,85,1,0,0,0,71,1,2,0,0,64,0,0,0,0,27,0,0,0,0,13,1,0,0,0,24,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
16:00:00,16:15:00,4,1,0,0,0,12,2,1,3,0,43,2,1,0,0,30,0,0,0,0,34,1,1,0,0,16,1,0,0,0,5,0,0,0,0,13,0,0,0,0,18,0,0,0,0,22,0,0,0,0,60,0,2,0,0,12,3,2,6,0,65,0,0,0,0,58,0,1,0,0,55,1,0,0,0,24,1,0,0,0,9,1,0,0,0,22,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16:15:00,16:30:00,2,0,0,0,0,11,3,0,3,0,48,0,1,0,0,33,0,1,0,0,29,0,0,0,0,17,0,0,0,0,5,0,0,0,0,13,0,0,0,0,13,0,0,0,0,17,0,0,0,0,41,0,3,0,0,6,3,1,5,0,61,1,4,0,0,58,1,1,0,0,47,0,0,0,0,25,0,0,0,0,7,2,0,0,0,21,2,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16:30:00,16:45:00,5,0,0,0,0,8,2,1,4,0,46,0,1,0,0,30,0,0,0,0,17,1,0,0,0,15,0,0,0,0,1,0,0,0,0,8,0,0,1,0,9,0,0,0,0,18,0,0,0,0,46,0,5,0,0,9,0,3,6,0,50,0,1,0,0,35,0,1,0,0,41,0,1,0,0,27,0,0,0,0,8,2,0,0,0,20,3,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:45:00,17:00:00,2,0,0,0,0,11,2,0,1,0,46,0,0,1,0,31,2,0,0,0,18,0,1,0,0,9,0,0,0,0,2,0,0,0,0,8,0,0,0,0,15,0,0,0,0,13,0,0,0,0,48,1,4,0,0,10,2,1,6,0,48,2,0,2,0,36,0,1,0,0,49,0,0,0,0,22,0,0,0,0,9,1,0,0,0,24,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17:00:00,17:15:00,3,0,0,0,0,13,4,1,4,0,52,1,2,0,0,34,0,0,0,0,18,0,0,0,0,15,0,0,0,0,3,0,0,0,0,14,1,0,0,0,6,0,2,0,0,13,0,2,0,0,37,0,4,0,0,9,3,1,1,0,51,0,0,0,0,38,2,1,0,0,32,0,3,0,0,24,0,0,0,0,6,0,0,0,0,21,0,3,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17:15:00,17:30:00,6,0,0,0,0,13,2,0,3,0,44,0,0,0,0,22,0,1,0,0,18,1,1,0,0,9,0,0,0,0,1,0,0,0,0,13,0,1,0,0,11,0,0,0,0,14,0,0,0,0,40,0,1,0,0,12,0,0,1,0,46,0,1,0,0,31,0,4,0,0,48,1,1,0,0,21,1,0,0,0,10,0,4,0,0,20,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17:30:00,17:45:00,10,0,0,0,0,8,1,0,4,0,33,0,0,0,0,19,1,1,0,0,18,0,2,0,0,7,0,0,0,0,5,0,0,0,0,14,0,1,0,0,12,0,0,0,0,7,0,0,0,0,35,0,0,0,0,15,0,0,0,0,54,0,0,0,0,37,0,2,0,0,48,0,0,0,0,27,0,0,0,0,12,0,2,0,0,27,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17:45:00,18:00:00,13,0,0,0,0,13,0,0,0,0,43,0,0,0,0,21,0,0,0,0,22,0,0,0,0,14,0,0,0,0,2,0,0,0,0,8,0,0,0,0,16,0,2,0,0,13,0,1,0,0,43,0,0,0,0,9,3,0,0,0,51,0,0,0,0,35,0,3,0,0,36,0,0,0,0,15,0,0,0,0,8,0,0,0,0,26,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18:00:00,18:15:00,7,0,0,0,0,12,2,0,1,0,45,0,0,0,0,29,0,1,1,0,21,0,0,0,0,12,0,0,0,0,3,1,0,0,0,20,0,0,0,0,12,0,5,0,0,15,0,0,0,0,37,0,0,0,0,11,0,0,1,0,64,0,0,0,0,45,0,0,0,0,39,0,0,0,0,22,0,0,0,0,6,0,0,0,0,25,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
18:15:00,18:30:00,11,0,0,0,0,14,0,0,0,0,52,0,2,0,0,25,0,0,0,0,8,0,0,0,0,20,0,0,0,0,2,0,0,0,0,14,1,0,0,0,16,0,1,0,0,13,0,0,0,0,39,0,2,0,0,11,0,0,1,0,53,1,0,0,0,34,0,0,0,0,50,0,0,0,0,22,0,0,0,0,15,0,0,0,0,29,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:30:00,18:45:00,10,0,0,0,0,22,4,1,2,0,45,0,0,0,0,30,0,1,0,0,16,0,0,0,0,14,0,0,0,0,2,0,1,0,0,12,0,1,0,0,12,0,4,0,0,17,0,0,0,0,37,0,1,0,0,15,2,1,1,0,54,0,0,0,0,30,0,2,0,0,38,1,0,0,0,14,0,0,0,0,14,0,0,0,0,26,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:45:00,19:00:00,7,0,0,0,0,20,0,0,0,0,53,0,1,2,0,28,2,0,0,0,26,0,0,0,0,10,0,0,0,0,5,1,0,0,0,14,0,3,0,0,22,0,0,0,0,14,0,2,0,0,48,0,0,0,0,13,0,0,3,0,57,0,0,0,0,39,0,0,0,0,39,0,0,0,0,28,0,0,0,0,13,0,0,0,0,18,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19:00:00,19:15:00,8,0,0,0,0,18,0,1,1,0,48,0,1,1,0,28,0,0,0,0,25,0,0,0,0,15,0,0,0,0,5,0,0,0,0,14,0,0,0,0,20,0,1,0,0,14,0,1,0,0,39,0,0,0,0,9,1,0,3,0,62,1,0,0,0,41,0,1,0,0,53,0,0,0,0,25,0,0,0,0,10,0,0,0,0,23,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19:15:00,19:30:00,10,0,0,0,0,15,0,0,2,0,37,0,1,0,0,17,0,0,0,0,9,0,0,0,0,9,0,0,0,0,2,0,0,0,0,14,0,0,0,0,15,0,1,0,0,16,0,0,0,0,48,0,0,0,0,14,0,0,2,0,57,1,0,0,0,37,0,0,0,0,40,0,0,0,0,16,0,0,0,0,13,0,1,0,0,17,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:00,19:45:00,2,0,0,0,0,15,0,0,1,0,31,0,0,0,0,16,0,0,0,0,20,0,0,0,0,7,0,0,0,0,1,0,0,0,0,9,0,0,0,0,13,0,0,0,0,11,0,5,0,0,34,0,0,0,0,10,0,0,0,0,43,0,1,0,0,26,0,0,0,0,40,0,0,0,0,16,0,0,0,0,8,0,1,0,0,22,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19:45:00,20:00:00,4,0,0,0,0,8,0,0,2,0,34,0,0,0,0,13,0,1,0,0,16,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,19,0,0,0,0,15,0,1,0,0,30,0,0,0,0,4,0,0,0,0,37,0,0,0,0,16,0,2,0,0,37,0,2,0,0,15,0,0,0,0,6,0,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20:00:00,20:15:00,4,0,0,0,0,12,0,0,1,0,40,0,0,0,0,26,0,0,0,0,15,1,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,1,0,0,15,0,0,0,0,16,0,0,0,0,23,0,0,0,0,7,0,0,1,0,36,0,0,0,0,13,0,0,0,0,34,0,1,0,0,11,0,0,0,0,5,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:15:00,20:30:00,0,0,0,0,0,6,0,0,1,0,44,0,0,0,0,18,0,0,0,0,18,0,0,0,0,5,0,0,0,0,2,0,0,0,0,6,0,2,0,0,11,0,3,0,0,14,0,0,0,0,26,0,0,0,0,5,0,0,1,0,27,1,0,0,0,19,0,0,0,0,23,0,0,0,0,8,0,0,0,0,6,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20:30:00,20:45:00,0,0,0,0,0,8,0,1,1,0,41,0,0,0,0,18,0,0,0,0,11,0,0,0,0,3,0,0,0,0,5,0,1,0,0,4,0,0,0,0,14,0,0,0,0,16,0,0,0,0,25,0,0,0,0,4,0,0,0,0,30,0,0,0,0,13,0,0,0,0,31,0,0,0,0,11,0,0,0,0,4,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20:45:00,21:00:00,1,0,0,0,0,7,0,0,1,0,47,0,0,0,0,17,0,0,0,0,17,0,0,0,0,9,0,0,0,0,4,0,0,0,0,6,0,0,0,0,14,0,0,0,0,7,0,1,0,0,14,0,0,0,0,4,0,0,1,0,32,0,1,0,0,16,0,1,0,0,27,0,0,0,0,11,0,0,0,0,3,0,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21:00:00,21:15:00,2,0,0,0,0,7,0,1,1,0,37,0,0,0,0,29,0,0,0,0,13,0,0,0,0,8,0,0,0,0,1,0,0,0,0,5,0,1,0,0,9,0,0,0,0,17,0,2,0,0,22,0,0,0,0,6,0,0,1,0,31,0,0,0,0,9,1,0,0,0,41,0,0,0,0,17,0,0,0,0,6,0,2,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21:15:00,21:30:00,4,0,0,0,0,11,0,1,1,0,52,0,1,0,0,31,0,0,0,0,12,1,0,0,0,7,0,0,0,0,3,0,4,0,0,9,0,0,0,0,22,0,0,0,0,15,0,0,0,0,29,0,0,0,0,10,0,0,1,0,19,0,0,0,0,16,0,0,0,0,28,0,0,0,0,13,0,0,0,0,6,0,2,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21:30:00,21:45:00,4,0,0,0,0,9,0,2,0,0,50,0,0,0,0,26,0,0,0,0,20,0,0,0,0,8,0,0,0,0,1,0,0,0,0,13,0,0,0,0,18,0,0,0,0,11,0,1,0,0,25,0,0,0,0,7,0,0,0,0,29,0,0,0,0,18,0,0,0,0,37,0,0,0,0,26,0,0,0,0,5,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
