Start,End, 11  car , 11  truck , 11  motorbike , 11  van , 11  bus , 12  car , 12  truck , 12  motorbike , 12  van , 12  bus , 13  car , 13  truck , 13  motorbike , 13  van , 13  bus , 14  car , 14  truck , 14  motorbike , 14  van , 14  bus , 15  car , 15  truck , 15  motorbike , 15  van , 15  bus , 21  car , 21  truck , 21  motorbike , 21  van , 21  bus , 22  car , 22  truck , 22  motorbike , 22  van , 22  bus , 23  car , 23  truck , 23  motorbike , 23  van , 23  bus , 24  car , 24  truck , 24  motorbike , 24  van , 24  bus , 25  car , 25  truck , 25  motorbike , 25  van , 25  bus , 31  car , 31  truck , 31  motorbike , 31  van , 31  bus , 32  car , 32  truck , 32  motorbike , 32  van , 32  bus , 33  car , 33  truck , 33  motorbike , 33  van , 33  bus , 34  car , 34  truck , 34  motorbike , 34  van , 34  bus , 35  car , 35  truck , 35  motorbike , 35  van , 35  bus , 41  car , 41  truck , 41  motorbike , 41  van , 41  bus , 42  car , 42  truck , 42  motorbike , 42  van , 42  bus , 43  car , 43  truck , 43  motorbike , 43  van , 43  bus , 44  car , 44  truck , 44  motorbike , 44  van , 44  bus , 61  car , 61  truck , 61  motorbike , 61  van , 61  bus , 62  car , 62  truck , 62  motorbike , 62  van , 62  bus , 63  car , 63  truck , 63  motorbike , 63  van , 63  bus , 64  car , 64  truck , 64  motorbike , 64  van , 64  bus , 51  car , 51  truck , 51  motorbike , 51  van , 51  bus , 52  car , 52  truck , 52  motorbike , 52  van , 52  bus , 53  car , 53  truck , 53  motorbike , 53  van , 53  bus ,1WE,1EW,3EW,3WE,1NS,1SN,3SN,3NS,EAST,WEST
10:30:00,10:45:00,9,0,0,0,0,14,1,0,0,0,40,0,1,0,0,21,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,1,0,15,0,0,0,0,16,0,0,0,0,38,0,2,0,0,11,1,1,0,0,49,1,0,0,0,30,0,2,0,0,32,2,1,0,0,7,2,0,0,0,7,0,0,0,0,14,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
10:45:00,11:00:00,5,1,0,0,0,6,2,0,0,0,40,2,0,0,0,23,0,0,0,0,26,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,1,0,9,0,0,0,0,22,0,0,0,0,41,0,2,0,0,12,1,1,1,0,54,1,0,0,0,36,1,0,0,0,39,2,1,0,0,10,2,0,0,0,4,2,0,0,0,14,0,0,1,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11:00:00,11:15:00,4,0,0,0,0,9,2,0,0,0,47,0,0,0,0,26,0,0,0,0,15,1,1,0,0,7,0,0,0,0,1,0,0,0,0,12,0,0,0,0,18,0,0,0,0,15,0,0,0,0,50,0,4,0,0,9,3,0,0,0,53,0,0,0,0,43,0,2,0,0,28,3,1,0,0,7,5,0,0,0,4,0,0,0,0,11,2,0,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
11:15:00,11:30:00,4,0,0,0,0,9,5,1,0,0,35,3,0,0,0,20,0,0,0,0,22,0,0,0,0,6,0,0,0,0,6,0,0,0,0,24,0,0,0,0,13,0,0,0,0,16,0,0,0,0,50,0,1,0,0,10,0,2,0,0,50,2,0,0,0,35,1,1,0,0,31,1,0,0,0,14,2,0,0,0,2,1,0,0,0,20,0,0,8,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
11:30:00,11:45:00,3,1,0,0,0,10,4,0,0,0,64,2,1,0,0,38,0,0,0,0,14,0,1,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,12,0,1,0,0,53,0,0,0,0,18,5,2,1,0,58,1,0,0,0,42,3,0,0,0,27,2,0,0,0,19,3,0,0,0,6,1,0,0,0,19,3,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11:45:00,12:00:00,5,0,0,0,0,5,2,2,0,0,53,0,0,0,0,27,0,0,0,0,18,1,0,0,0,12,0,0,0,0,2,0,0,0,0,14,0,0,0,0,9,0,0,0,0,11,0,0,0,0,36,1,1,0,0,14,3,0,0,0,60,1,0,0,0,43,1,1,0,0,32,1,0,0,0,14,3,0,0,0,13,2,0,0,0,24,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12:00:00,12:15:00,6,1,0,0,0,11,2,0,0,0,59,2,0,0,0,34,4,0,0,0,25,0,1,0,0,7,0,0,0,0,1,0,0,0,0,13,0,0,0,0,14,0,0,0,0,15,0,0,0,0,36,0,2,0,0,16,5,2,2,0,50,1,1,0,0,37,1,1,0,0,42,1,0,0,0,21,2,0,0,0,5,0,0,1,0,25,0,0,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12:15:00,12:30:00,3,1,0,0,0,11,2,0,0,0,44,2,0,0,0,25,3,1,0,0,28,0,0,0,0,21,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,24,0,0,0,0,40,0,2,0,0,14,1,0,0,0,55,0,2,0,0,30,0,1,0,0,37,0,2,0,0,10,0,0,0,0,4,1,0,1,0,9,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:30:00,12:45:00,6,0,0,0,0,11,3,3,1,0,65,3,0,0,0,35,0,1,0,0,28,5,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,0,0,0,20,0,0,0,0,47,1,1,0,0,18,1,0,0,0,58,1,0,0,0,48,0,1,0,0,40,2,0,0,0,5,2,0,0,0,6,1,0,0,0,19,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
12:45:00,13:00:00,6,1,0,0,0,14,4,1,0,0,68,3,0,0,0,41,2,0,0,0,29,2,0,0,0,17,0,0,0,0,2,0,0,0,0,10,0,0,0,0,14,0,0,0,0,21,0,0,0,0,55,0,0,0,0,12,1,0,0,0,58,1,0,0,0,37,0,4,0,0,31,0,0,0,0,13,0,0,0,0,9,0,0,0,0,19,0,0,1,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13:00:00,13:15:00,3,0,0,0,0,10,3,1,0,0,62,2,0,0,0,37,0,1,0,0,39,0,0,0,0,14,0,0,0,0,2,0,0,0,0,13,0,0,0,0,15,0,0,0,0,14,0,0,0,0,29,0,1,0,0,12,3,2,0,0,57,2,0,0,0,34,0,0,0,0,49,1,0,0,0,6,1,0,0,0,4,1,0,0,0,16,1,0,1,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13:15:00,13:30:00,3,1,0,0,0,10,4,0,0,0,52,0,2,0,0,44,0,0,0,0,17,0,0,0,0,16,0,0,0,0,4,0,0,0,0,14,0,1,0,0,14,0,0,0,0,12,0,1,0,0,45,0,3,0,0,19,2,3,0,0,53,0,0,0,0,45,0,0,0,0,36,1,0,0,0,6,1,0,0,0,2,0,0,0,0,17,0,0,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
13:30:00,13:45:00,3,0,0,0,0,15,3,2,1,0,63,1,0,0,0,49,0,1,0,0,24,0,0,0,0,5,0,0,0,0,9,0,0,0,0,14,0,0,0,0,12,0,4,0,0,12,0,0,0,0,49,1,3,0,0,17,1,1,0,0,62,0,0,0,0,50,0,0,0,0,44,0,0,0,0,9,0,0,0,0,4,0,0,0,0,20,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13:45:00,14:00:00,6,1,0,0,0,12,5,2,0,0,60,0,1,0,0,40,1,0,0,0,21,0,1,0,0,11,0,0,0,0,1,0,0,0,0,14,0,1,0,0,10,0,0,0,0,20,0,1,0,0,31,0,0,0,0,11,0,0,1,0,57,2,1,0,0,30,0,1,0,0,41,1,0,0,0,14,2,0,0,0,9,1,0,0,0,19,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
14:00:00,14:15:00,6,0,0,0,0,17,3,0,0,0,57,0,1,0,0,35,1,1,0,0,17,0,0,0,0,9,0,0,0,0,2,0,0,0,0,12,0,0,0,0,15,0,0,0,0,16,0,0,0,0,38,0,1,0,0,9,2,3,0,0,53,1,0,0,0,30,1,1,0,0,43,0,0,0,0,12,1,0,0,0,8,0,0,0,0,32,1,0,0,0,10,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
14:15:00,14:30:00,4,0,0,0,0,11,1,1,0,0,53,1,1,0,0,29,0,0,0,0,21,1,0,0,0,14,0,0,0,0,1,0,0,0,0,13,0,0,0,0,11,1,0,0,0,7,0,0,0,0,41,1,3,0,0,10,1,1,0,0,49,2,0,0,0,32,0,3,0,0,41,1,0,0,0,10,1,0,0,0,8,0,0,0,0,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
14:30:00,14:45:00,7,0,0,0,0,11,4,0,0,0,58,0,1,0,0,29,1,0,0,0,21,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,1,0,0,12,0,0,0,0,49,0,1,0,0,10,4,0,0,0,46,0,1,0,0,26,0,1,0,0,35,0,0,0,0,14,0,0,0,0,9,0,0,0,0,13,1,1,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
14:45:00,15:00:00,1,1,0,0,0,17,5,2,0,0,69,3,0,0,0,44,1,0,0,0,28,1,0,0,0,12,0,0,0,0,1,0,0,0,0,14,0,0,0,0,6,0,0,0,0,14,0,0,0,0,40,0,3,0,0,16,3,1,0,0,44,1,1,0,0,31,2,4,0,0,41,0,1,0,0,21,1,0,0,0,8,1,0,0,0,21,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
15:00:00,15:15:00,5,0,0,0,0,13,2,0,0,0,55,1,1,0,0,27,2,0,0,0,28,2,0,0,0,12,0,0,0,0,1,0,0,0,0,13,1,1,0,0,15,0,0,0,0,15,0,0,0,0,39,0,7,0,0,7,3,2,0,0,51,1,1,0,0,28,0,0,0,0,33,3,1,0,0,30,0,0,0,0,11,0,0,0,0,22,4,3,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:15:00,15:30:00,3,0,0,0,0,19,4,2,0,0,60,2,1,0,0,33,2,0,0,0,26,0,1,0,0,10,0,0,0,0,3,0,0,0,0,13,0,2,0,0,13,0,0,0,0,19,0,2,0,0,45,0,3,0,0,17,1,1,0,0,55,0,2,0,0,44,1,1,0,0,28,0,4,0,0,16,0,0,0,0,6,0,0,0,0,18,7,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
15:30:00,15:45:00,6,0,0,0,0,9,0,2,0,0,58,2,1,0,0,36,2,0,0,0,31,1,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,1,0,0,8,0,0,0,0,16,0,2,0,0,49,1,3,0,0,8,1,0,1,0,52,2,0,0,0,42,0,5,0,0,44,1,1,0,0,27,0,0,0,0,8,1,0,0,0,17,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
15:45:00,16:00:00,2,0,0,0,0,13,5,1,1,0,67,1,0,0,0,41,0,0,0,0,28,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,21,0,0,0,0,54,0,4,0,0,20,0,0,1,0,64,0,0,0,0,43,2,1,0,0,43,0,0,0,0,19,1,0,0,0,7,0,0,0,0,17,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16:00:00,16:15:00,3,0,0,0,0,15,1,1,1,0,68,3,0,0,0,50,0,0,0,0,30,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,1,0,0,16,0,1,0,0,17,0,0,0,0,49,1,1,0,0,8,2,2,1,0,49,6,0,0,0,40,2,0,0,0,37,4,0,0,0,25,0,0,0,0,5,0,0,0,0,22,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
16:15:00,16:30:00,3,0,0,0,0,17,2,2,0,0,73,3,1,0,0,47,0,0,0,0,45,0,2,0,0,11,0,0,0,0,0,0,0,0,0,14,0,1,0,0,17,0,0,0,0,14,0,0,0,0,48,0,3,0,0,11,5,2,1,0,48,2,0,0,0,40,0,1,0,0,45,0,0,0,0,27,1,0,0,0,7,0,0,0,0,25,0,0,0,0,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:30:00,16:45:00,1,0,0,0,0,14,7,3,0,0,90,1,0,0,0,59,1,0,0,0,39,0,0,0,0,6,0,0,0,0,1,0,0,0,0,18,0,0,0,0,10,0,0,0,0,19,0,2,0,0,47,0,0,0,0,12,0,1,1,0,51,0,0,0,0,38,0,1,0,0,52,0,0,0,0,23,1,0,0,0,6,1,0,0,0,15,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16:45:00,17:00:00,5,0,0,0,0,22,1,2,1,0,67,1,0,0,0,44,0,0,0,0,22,1,1,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14,0,1,0,0,12,0,2,0,0,40,0,0,0,0,10,2,5,2,0,50,0,1,0,0,38,0,0,0,0,51,0,0,0,0,22,0,0,0,0,13,0,0,0,0,19,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
17:00:00,17:15:00,12,0,0,0,0,23,4,0,0,0,79,2,0,1,0,45,0,1,0,0,48,1,0,0,0,3,0,0,0,0,4,0,1,0,0,18,0,0,0,0,15,0,0,0,0,21,0,0,0,0,36,0,3,0,0,12,3,1,0,0,51,1,0,0,0,30,0,1,0,0,33,0,0,0,0,30,0,0,0,0,14,0,2,0,0,24,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17:15:00,17:30:00,6,0,0,0,0,11,1,1,3,0,75,0,0,0,0,52,0,0,0,0,37,0,1,0,0,22,0,0,0,0,0,0,0,0,0,15,0,1,0,0,12,0,0,0,0,22,0,1,1,0,32,0,3,0,0,14,0,1,3,0,36,0,0,0,0,29,0,2,0,0,48,2,1,0,0,33,0,0,0,0,14,0,0,0,0,28,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:30:00,17:45:00,8,0,0,0,0,18,0,1,5,0,76,0,0,0,0,59,0,0,0,0,32,1,1,0,0,16,0,0,0,0,3,0,0,0,0,9,0,1,0,0,22,1,2,0,0,20,0,0,0,0,43,0,1,0,0,6,0,0,3,0,36,0,1,0,0,30,0,3,0,0,41,0,2,0,0,19,0,0,0,0,10,0,0,0,0,22,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0
17:45:00,18:00:00,4,0,0,0,0,10,0,0,6,0,68,0,1,0,0,48,0,1,0,0,38,0,1,0,0,17,0,0,0,0,5,0,2,0,0,17,0,0,0,0,18,0,2,0,0,13,0,0,0,0,57,0,0,0,0,6,1,0,4,0,42,1,0,0,0,36,0,0,0,0,46,0,0,0,0,20,0,0,0,0,9,0,0,0,0,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:00,18:15:00,3,0,0,0,0,12,0,1,7,0,59,1,1,0,0,38,0,0,0,0,43,0,0,0,0,15,0,0,0,0,2,0,0,0,0,5,0,1,0,0,16,0,0,0,0,13,0,1,0,0,56,0,0,1,0,5,0,0,0,0,49,0,0,0,0,27,0,0,1,0,39,0,1,0,0,24,0,0,0,0,13,0,0,0,0,19,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:00,18:30:00,6,1,0,1,0,8,0,1,5,0,58,0,0,0,0,40,0,0,0,0,47,0,1,0,0,16,0,0,0,0,1,0,0,0,0,13,0,1,0,0,13,0,0,0,0,15,0,5,0,0,63,0,0,1,0,8,0,0,6,0,52,1,0,0,0,29,0,0,0,0,34,0,0,0,0,24,0,0,0,0,8,0,0,0,0,22,0,1,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18:30:00,18:45:00,3,0,0,0,0,13,0,0,4,0,79,0,0,0,0,49,0,0,0,0,62,0,0,0,0,10,0,0,0,0,1,0,0,0,0,10,0,0,0,0,8,0,0,0,0,12,0,0,0,0,84,0,2,0,0,4,0,1,1,0,43,0,1,0,0,31,1,0,0,0,39,0,0,0,0,26,0,0,0,0,17,0,0,0,0,18,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
18:45:00,19:00:00,10,0,0,0,0,13,0,0,9,0,63,0,2,0,0,38,0,0,0,0,62,0,1,0,0,13,0,0,0,0,2,0,1,0,0,7,0,2,0,0,17,0,0,0,0,18,0,0,0,0,76,0,0,0,0,10,0,1,7,0,32,0,0,0,0,28,2,1,0,0,49,0,1,0,0,21,0,0,0,0,13,0,0,0,0,23,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19:00:00,19:15:00,6,0,0,0,0,9,0,2,2,0,70,0,0,0,0,41,0,0,0,0,75,0,0,0,0,16,0,0,0,0,2,0,0,0,0,14,0,2,0,0,12,0,2,0,0,17,0,2,0,0,92,0,0,0,0,5,0,0,2,0,45,1,1,0,0,25,0,1,0,0,36,1,0,0,0,23,0,0,0,0,21,0,0,0,0,24,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
19:15:00,19:30:00,4,0,0,0,0,8,0,0,12,0,77,0,0,0,0,43,0,0,0,0,59,1,0,0,0,12,0,0,0,0,2,0,0,0,0,14,0,0,0,0,15,0,9,0,0,18,0,1,0,0,80,0,1,0,0,8,0,0,7,0,41,0,0,0,0,26,1,2,1,0,44,0,0,0,0,16,0,0,0,0,21,0,0,0,0,27,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:00,19:45:00,8,0,0,0,0,22,0,0,7,0,80,0,0,0,0,53,0,1,0,0,82,0,1,0,0,18,0,0,0,0,0,0,0,0,0,13,0,1,0,0,22,0,1,0,0,21,0,1,0,0,85,0,1,0,0,7,0,2,4,0,36,0,0,0,0,25,0,1,0,0,50,0,1,0,0,25,0,0,0,0,28,0,4,0,0,21,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
19:45:00,20:00:00,6,0,0,0,0,16,0,0,5,0,67,0,1,0,0,42,0,0,0,0,55,1,1,1,0,11,0,0,0,0,4,0,5,0,0,18,0,2,0,0,19,0,0,0,0,22,0,0,0,0,78,0,0,0,0,7,0,0,6,0,45,0,0,0,0,38,0,1,0,0,47,0,1,0,0,22,0,0,0,0,22,3,0,0,0,24,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:00:00,20:15:00,10,0,0,0,0,10,0,0,10,0,71,0,2,0,0,53,0,1,0,0,61,0,0,0,0,14,0,0,0,0,3,0,0,0,0,16,0,0,0,0,30,0,1,0,0,24,0,1,0,0,90,0,1,0,0,9,1,3,3,0,41,0,2,0,0,38,0,1,0,0,51,0,0,0,0,19,0,0,0,0,15,0,0,0,0,27,0,0,1,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0
20:15:00,20:30:00,13,0,0,0,0,10,0,0,9,0,51,1,0,0,0,33,0,1,0,0,38,0,1,1,0,14,0,0,0,0,6,0,0,0,0,10,0,0,0,0,24,0,0,0,0,25,0,0,0,0,93,0,0,0,0,11,0,0,7,0,43,1,0,1,0,33,0,1,0,0,35,0,0,0,0,27,0,0,0,0,8,0,0,0,0,28,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
20:30:00,20:45:00,3,0,0,0,0,14,0,0,7,0,76,0,0,0,0,51,0,0,0,0,51,0,0,0,0,20,0,0,0,0,3,0,4,0,0,15,0,1,0,0,17,0,3,0,0,28,0,2,0,0,66,0,1,0,0,6,0,0,4,0,39,1,0,0,0,29,0,0,0,0,56,0,0,0,0,18,0,0,0,0,13,0,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:45:00,21:00:00,2,0,0,0,0,7,0,1,7,0,61,0,0,0,0,27,0,0,0,0,45,0,0,0,0,17,0,0,0,0,4,0,1,0,0,22,0,0,0,0,27,0,3,0,0,26,0,0,0,0,67,0,0,0,0,3,0,1,6,0,35,0,0,0,0,27,0,0,0,0,44,0,0,0,0,17,0,0,0,0,9,0,4,1,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21:00:00,21:15:00,4,0,0,0,0,8,0,0,8,0,41,1,1,0,0,28,0,0,0,0,54,0,0,0,0,13,0,0,0,0,2,0,0,0,0,13,0,1,0,0,13,0,1,0,0,19,0,2,0,0,64,0,0,0,0,9,0,1,8,0,28,1,0,1,0,23,0,0,0,0,38,0,1,0,0,20,0,0,0,0,7,0,0,0,0,22,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
21:15:00,21:30:00,4,0,0,0,0,6,0,0,9,0,29,0,0,1,0,19,0,3,0,0,27,1,1,0,0,20,0,0,0,0,3,0,0,0,0,11,0,0,0,0,20,0,0,0,0,16,0,0,0,0,40,0,1,0,0,4,0,0,9,0,36,0,0,0,0,23,0,1,0,0,30,1,0,0,0,12,0,0,0,0,4,0,1,0,0,15,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0
21:30:00,21:45:00,3,0,0,0,0,5,0,0,7,0,39,0,0,0,0,21,0,0,1,0,20,0,0,1,0,15,0,0,0,0,2,0,0,0,0,7,0,4,0,0,21,0,0,0,0,18,0,0,0,0,37,0,1,0,0,9,0,0,5,0,23,0,0,0,0,20,0,0,0,0,27,0,3,0,0,19,0,0,0,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
